esd,esd_name,district,type,response
113,Capital Region Educational Service District,North River,School District,false
113,Capital Region Educational Service District,North Thurston,Public Schools,false
101,Northeast WA Educational Service District,Northport,School District,false
121,Puget Sound Educational Service District,Northshore,School District,true
189,Northwest Educational Service District,Oak Harbor,School District,true
101,Northeast WA Educational Service District,Oakesdale,School District,false
113,Capital Region Educational Service District,Oakville,School District,false
112,Educational Service Agency,Ocean Beach,School District,false
113,Capital Region Educational Service District,Ocosta,School District,false
101,Northeast WA Educational Service District,Odessa,School District,false
171,North Central Educational Service District,Okanogan,School District,false
113,Capital Region Educational Service District,Olympia,School District,true
171,North Central Educational Service District,Omak,School District,true
113,Capital Region Educational Service District,Onalaska,School District,false
101,Northeast WA Educational Service District,Onion Creek,School District,false
189,Northwest Educational Service District,Orcas Island,School District,false
101,Northeast WA Educational Service District,Orchard Prairie,School District,false
101,Northeast WA Educational Service District,Orient,School District,false
171,North Central Educational Service District,Orondo,School District,false
171,North Central Educational Service District,Oroville,School District,false
121,Puget Sound Educational Service District,Orting,School District,false
123,Educational Service District,Othello,School District,true
171,North Central Educational Service District,Palisades,School District,false
101,Northeast WA Educational Service District,Palouse,School District,false
123,Educational Service District,Pasco,School District,true
171,North Central Educational Service District,Pateros,School District,false
123,Educational Service District,Paterson,School District,false
113,Capital Region Educational Service District,Pe Ell,School District,false
121,Puget Sound Educational Service District,Peninsula,School District,false
113,Capital Region Educational Service District,Pioneer,School,true
123,Educational Service District,Pomeroy,School District,false
114,Olympic Educational Service District,Port Angeles,School District,false
114,Olympic Educational Service District,Port Townsend,School District,true
123,Educational Service District,Prescott,School District,false
123,Educational Service District,Prosser,School District,false
101,Northeast WA Educational Service District,Pullman,School District,false
121,Puget Sound Educational Service District,Puyallup,School District,true
114,Olympic Educational Service District,Queets-Clearwater,School District,false
114,Olympic Educational Service District,Quilcene,School District,true
114,Olympic Educational Service District,Quillayute Valley,School District,false
113,Capital Region Educational Service District,Quinault,School District,false
171,North Central Educational Service District,Quincy,School District,false
113,Capital Region Educational Service District,Rainier,School District,false
113,Capital Region Educational Service District,Raymond,School District,false
101,Northeast WA Educational Service District,Reardan Edwall,School District,false
121,Puget Sound Educational Service District,Renton,School District,false
101,Northeast WA Educational Service District,Republic,School District,false
123,Educational Service District,Richland,School District,false
112,Educational Service Agency,Ridgefield,School District,true
